section id,recording id,timestamp [ns],detected marker IDs,tl x [px],tl y [px],tr x [px],tr y [px],br x [px],br y [px],bl x [px],bl y [px]
65343790-189b-4431-8c77-1db4bd38120e,7173e985-be36-429d-9926-e0f29904d037,1754762021918170000,"""0;1;2;3""",656.781,311.012,694.297,343.988,719.901,392.67,749.008,375.812
65343790-189b-4431-8c77-1db4bd38120e,7173e985-be36-429d-9926-e0f29904d037,1754762021951510000,"""0;1;2;3""",664.935,304.379,697.164,340.304,715.274,394.04,746.791,374.11
65343790-189b-4431-8c77-1db4bd38120e,7173e985-be36-429d-9926-e0f29904d037,1754762021984850000,"""0;1;2;3""",637.914,293.733,685.328,337.734,713.529,397.181,748.248,374.96
65343790-189b-4431-8c77-1db4bd38120e,7173e985-be36-429d-9926-e0f29904d037,1754762022018200000,"""0;1;2;3""",655.516,311.159,691.458,343.871,715.509,392.541,744.72,375.625
65343790-189b-4431-8c77-1db4bd38120e,7173e985-be36-429d-9926-e0f29904d037,1754762022051540000,"""0;1;2;3""",658.437,297.06,692.9,337.128,710.354,395.316,744.903,372.998
65343790-189b-4431-8c77-1db4bd38120e,7173e985-be36-429d-9926-e0f29904d037,1754762022084880000,"""0;1;2;3""",620.648,291.445,677.478,337.757,712.783,397.574,747.487,375.393
65343790-189b-4431-8c77-1db4bd38120e,7173e985-be36-429d-9926-e0f29904d037,1754762022118230000,"""0;1;2;3""",665.63,298.288,695.638,337.081,709.012,394.951,743.494,372.443
65343790-189b-4431-8c77-1db4bd38120e,7173e985-be36-429d-9926-e0f29904d037,1754762022151570000,"""0;1;2;3""",668.596,292.875,697.245,334.397,706.469,395.454,744.377,371.18
65343790-189b-4431-8c77-1db4bd38120e,7173e985-be36-429d-9926-e0f29904d037,1754762022184910000,"""0;1;2;3""",650.641,309.974,687.923,342.762,713.298,391.374,742.431,374.319
65343790-189b-4431-8c77-1db4bd38120e,7173e985-be36-429d-9926-e0f29904d037,1754762022218250000,"""0;1;2;3""",345.524,263.703,624.002,344.847,728.593,399.944,764.949,378.376
65343790-189b-4431-8c77-1db4bd38120e,7173e985-be36-429d-9926-e0f29904d037,1754762022251600000,"""0;1;2;3""",,,599.981,361.995,744.628,398.605,782.539,377.48
65343790-189b-4431-8c77-1db4bd38120e,7173e985-be36-429d-9926-e0f29904d037,1754762022284940000,"""0;1;2;3""",663.57,296.172,692.469,334.448,704.758,392.167,739.292,369.344
65343790-189b-4431-8c77-1db4bd38120e,7173e985-be36-429d-9926-e0f29904d037,1754762022318280000,"""0;1;2;3""",869.78,376.565,680.35,376.913,753.448,388.21,790.809,367.741
65343790-189b-4431-8c77-1db4bd38120e,7173e985-be36-429d-9926-e0f29904d037,1754762022351630000,"""0;1;2;3""",650.19,302.167,683.276,337.284,702.722,390.295,733.747,370.115
65343790-189b-4431-8c77-1db4bd38120e,7173e985-be36-429d-9926-e0f29904d037,1754762022384970000,"""0;1;2;3""",217.062,250.732,608.431,344.532,721.077,398.726,759.866,375.51
65343790-189b-4431-8c77-1db4bd38120e,7173e985-be36-429d-9926-e0f29904d037,1754762022418320000,"""0;1;2;3""",712.516,430.605,721.717,425.048,831.124,369.378,810.269,368.147
65343790-189b-4431-8c77-1db4bd38120e,7173e985-be36-429d-9926-e0f29904d037,1754762022451650000,"""0;1;2;3""",764.191,379.83,768.729,382.347,771.808,409.935,812.375,390.197
65343790-189b-4431-8c77-1db4bd38120e,7173e985-be36-429d-9926-e0f29904d037,1754762022484990000,"""0;1;2;3""",684.973,392.532,687.061,391.91,799.442,370.162,807.871,352.885
65343790-189b-4431-8c77-1db4bd38120e,7173e985-be36-429d-9926-e0f29904d037,1754762022518340000,"""0;1;2;3""",640.248,270.354,676.727,322.491,688.296,391.908,730.676,363.742
65343790-189b-4431-8c77-1db4bd38120e,7173e985-be36-429d-9926-e0f29904d037,1754762022551680000,"""0;1;2;3""",874.307,358.866,658.95,381.594,745.837,379.963,777.736,362.248
65343790-189b-4431-8c77-1db4bd38120e,7173e985-be36-429d-9926-e0f29904d037,1754762022585030000,"""0;1;2;3""",565.481,446.456,509.189,478.807,663.974,378.081,757.683,356.628
65343790-189b-4431-8c77-1db4bd38120e,7173e985-be36-429d-9926-e0f29904d037,1754762022618370000,"""0;1;2;3""",572.694,464.073,503.669,504.461,683.432,388.373,774.394,365.865
65343790-189b-4431-8c77-1db4bd38120e,7173e985-be36-429d-9926-e0f29904d037,1754762022651720000,"""0;1;2;3""",600.415,469.916,498.26,545.763,737.428,372.357,775.357,349.368
65343790-189b-4431-8c77-1db4bd38120e,7173e985-be36-429d-9926-e0f29904d037,1754762022685050000,"""0;1;2;3""",763.263,320.712,728.396,461.121,927.752,228.448,708.19,391.462
